61a8e11e8a; CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?;negative
447dc22c81; hemp cloth is marvelous but unfortunately no;negative
3408db03a3;Gonna read a story bout adam lambert online then bed. Nighty night;neutral
92e1b6846e; We saw that in none 3D - the baddie`s the best;positive
2207d982bc;4am. And Im on the beach. Pretty;positive
15e01e1749; Certainly not Cheers than, huh?;neutral
ebcdf07ac5;1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!;negative
fd9fb4f1ad;i realy wanted to go out cause its so nice but everybodys busy;negative
6b018d3d2d; Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.;positive
327a009a7d;at least I get to watch over time  Let`s go Pens!!;neutral
d0d3c6f298; cool i wear black most of the time when i go out;neutral
40649553ef; haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****;positive
561b44a42f; have a safe trip joshy poo.......you`ll knock them dead at your speech;positive
a05aea73d7; woof, I wish I was allowed to go;positive
9c4817f73b;if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment;neutral
f0c1601d8b;  has tickets.......?;neutral
d421fbd332;Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!;positive
99b7ec4b0b; ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?;neutral
a655fbb5eb;Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us;positive
43e9a93104;So many tests todayyy  I don`t feel confident about anyy.;negative
401869d615;graduation is done  im a little sad.. anyone want to hang out???;negative
9843c4688e; hahaa your awesomee !;positive
87fbf14655;holy smokes! star trek was freaking awesomeeeee;positive
22d1806fa0;I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.;neutral
9d2cffd953; I had it! On my itunes, but then I lost all my songs.;neutral
f78761f7ec;What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha;neutral
66057d58c2;Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours;negative
af90ad5989; Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!;negative
f0460d611d;not well;negative
6649f3558c; Not a prob hun;positive
24532ab83c;at dads, watching some mtv and am going on sims2 in a minutee;neutral
8e1583cb08; Absolutely;neutral
4ea61dbc7a; what`s the matter chickadee?;neutral
94f67cfa6d; hey mia!  totally adore your music.  when will your cd be out?;positive
29dfaf5e3b;Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless;positive
974b35f889; =O you need to ask him something? Lmao I love him too;positive
b495300bbf; those splinters look very painful...but you were being very heroic saving mr. Pickle;negative
504539e6ec; why are you sad?;negative
6903cb08f2; Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom;positive
1996048e7a;decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....;positive
c6d0c7676c; Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !;neutral
ef74bab7f3; Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.;neutral
f3cf8ec01b;Humous and Dorito`s.... Oh yes;neutral
cb1b0d191d;missed all the awesome weather, because she was in a movie!;negative
3e67a75303;Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink;neutral
997a62f83f;These kids are terrible! If I was in Good Evans, I`d call Childline;negative
7e1757d4f0;Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!;negative
254546cd2c; What`s sad is that I actually had to google that term. That sucks, tho.;negative
7e4ed52c4a;Hate fighting;negative
5069ae7a15; I watched that too!!! I didnt want her to win, but she put up a good fight..lol;neutral
48cdcd5f28;Car-warmed Sprite tastes like sore throat;negative
1b1b02af59;Just came 11th in cross country and beat dumbo;neutral
ae71041e21;Candle wax is very enjoyable.;positive